subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
2,416,1,0,1,0,2,1,0,93006,93422,0,1
2,517,0,1,0,1,1,1,0,95971,96488,0,1
2,564,1,0,0,1,0,1,0,99123,99687,0,0
2,500,1,0,1,0,2,0,1,102369,102869,0,1
2,433,1,0,1,0,2,1,0,105768,106201,0,1
2,600,0,1,0,1,0,1,0,109217,109817,0,1
2,766,0,1,0,1,1,1,0,112833,113599,0,1
2,916,0,1,0,1,0,1,0,116298,117214,0,1
2,483,1,0,1,0,2,1,0,119980,120463,0,1
2,666,0,1,0,1,0,0,1,123396,124062,0,1
2,499,1,0,1,0,1,0,1,127045,127544,0,1
2,517,1,0,1,0,2,1,0,130560,131077,0,1
2,1052,0,1,1,0,0,1,0,134076,135128,0,0
2,599,1,0,1,0,0,1,0,137958,138557,0,1
2,600,1,0,1,0,0,1,0,141273,141873,0,1
2,616,0,1,0,1,1,0,1,144639,145255,0,1
2,534,1,0,1,0,0,1,0,147854,148388,0,1
2,683,0,1,0,1,1,1,0,151120,151803,0,1
2,700,1,0,1,0,2,1,0,154802,155502,0,1
2,767,0,1,0,1,1,0,1,158134,158901,0,1
2,1000,0,1,1,0,2,1,0,161533,162533,0,0
2,533,0,1,0,1,1,1,0,165249,165782,0,1
2,566,1,0,1,0,0,0,1,168698,169264,0,1
2,534,1,0,1,0,1,0,1,172096,172630,0,1
2,583,1,0,1,0,1,1,0,175529,176112,0,1
2,633,0,1,0,1,1,1,0,178661,179294,0,1
2,717,0,1,0,1,0,0,1,182076,182793,0,1
2,650,0,1,0,1,0,0,1,185609,186259,0,1
2,616,0,1,0,1,1,0,1,188991,189607,0,1
2,1016,0,1,1,0,2,1,0,192207,193223,0,0
2,600,0,1,0,1,2,0,1,195805,196405,0,1
2,533,1,0,1,0,0,0,1,199404,199937,0,1
2,600,0,1,0,1,2,1,0,202553,203153,0,1
2,550,0,1,0,1,1,1,0,205735,206285,0,1
2,434,1,0,1,0,2,0,1,209134,209568,0,1
2,483,1,0,1,0,2,1,0,212317,212800,0,1
2,516,0,1,0,1,1,0,1,215516,216032,0,1
2,567,1,0,1,0,0,0,1,218631,219198,0,1
2,533,1,0,1,0,2,1,0,222080,222613,0,1
2,617,0,1,1,0,0,1,0,225179,225796,0,0
2,616,1,0,0,1,1,1,0,228428,229044,0,0
2,533,1,0,1,0,2,1,0,231710,232243,0,1
2,550,1,0,1,0,2,1,0,234859,235409,0,1
2,483,0,1,0,1,1,0,1,238025,238508,0,1
2,650,0,1,0,1,2,0,1,241057,241707,0,1
2,450,1,0,1,0,2,0,1,244523,244973,0,1
2,600,0,1,0,1,2,1,0,247522,248122,0,1
2,783,1,0,1,0,2,1,0,250821,251604,0,1
2,749,0,1,1,0,0,1,0,270077,270826,0,0
2,733,0,1,0,1,2,1,0,273542,274275,0,1
2,699,0,1,0,1,1,0,1,276958,277657,0,1
2,600,0,1,0,1,0,0,1,280423,281023,0,1
2,567,0,1,0,1,2,1,0,283772,284339,0,1
2,616,0,1,0,1,2,0,1,287321,287937,0,1
2,550,1,0,1,0,1,0,1,290903,291453,0,1
2,1250,1,0,1,0,1,0,1,294085,295335,0,1
2,566,0,1,1,0,1,1,0,298301,298867,0,0
2,417,1,0,1,0,2,0,1,301416,301833,0,1
2,500,1,0,1,0,0,0,1,304515,305015,0,1
2,550,0,1,0,1,2,0,1,307814,308364,0,1
2,567,1,0,1,0,0,0,1,310946,311513,0,1
2,666,0,1,0,1,1,1,0,314529,315195,0,1
2,616,1,0,1,0,0,1,0,317928,318544,0,1
2,500,1,0,1,0,2,0,1,321243,321743,0,1
2,666,0,1,0,1,1,1,0,324742,325408,0,1
2,583,1,0,1,0,0,0,1,328058,328641,0,1
2,449,1,0,1,0,0,0,1,331207,331656,0,1
2,533,0,1,0,1,0,1,0,334389,334922,0,1
2,583,0,1,0,1,1,0,1,337954,338537,0,1
2,483,0,1,0,1,1,0,1,341470,341953,0,1
2,500,1,0,1,0,1,0,1,344519,345019,0,1
2,617,0,1,0,1,0,0,1,347884,348501,0,1
2,516,0,1,0,1,2,0,1,351517,352033,0,1
2,533,0,1,0,1,2,1,0,354899,355432,0,1
2,550,1,0,1,0,1,1,0,358031,358581,0,1
2,450,0,1,0,1,2,1,0,361130,361580,0,1
2,550,1,0,1,0,1,1,0,364246,364796,0,1
2,716,1,0,1,0,2,1,0,367578,368294,0,1
2,783,0,1,0,1,1,1,0,371060,371843,0,1
2,567,0,1,0,1,1,0,1,374742,375309,0,1
2,499,0,1,0,1,1,1,0,378125,378624,0,1
2,617,0,1,0,1,0,1,0,381473,382090,0,1
2,649,0,1,0,1,2,1,0,384906,385555,0,1
2,584,0,1,0,1,0,0,1,388354,388938,0,1
2,799,1,0,1,0,0,1,0,391887,392686,0,1
2,750,0,1,0,1,0,1,0,395619,396369,0,1
2,533,1,0,1,0,1,0,1,399234,399767,0,1
2,566,0,1,0,1,1,1,0,402367,402933,0,1
2,433,1,0,1,0,2,0,1,405832,406265,0,1
2,583,1,0,1,0,1,1,0,409064,409647,0,1
